id,title,url,writer_id,writer_name,mojidukai_type_id,mojidukai_name
3757,世の中と女,http://www.aozora.gr.jp/cards/000879/card3757.html,879,芥川 竜之介,1,新字旧仮名
128,羅生門,http://www.aozora.gr.jp/cards/000879/card128.html,879,芥川 竜之介,2,旧字旧仮名
127,羅生門,http://www.aozora.gr.jp/cards/000879/card127.html,879,芥川 竜之介,1,新字旧仮名
